Schedule,Monday,Tuesday,Wednesday
9:30,Hirai,Buder,
10,Bailey,Balasubramaniam,Venuti
10:15,Tuthill,Crawford,Ahmed
10:30,Juarez Garcia,Das,Song
10:45,White,Martell,Venner
11,,,
11:30,Bray,Webb,Carter
11:45,Wallace,Shen,
12,Grishin,Zucker,Brown
12:15,Rodriguez-Segovia,de Grijs,Davis
12:30,,,
2:00,,Gautam,Mohorian
2:15,,Pedersen,Neilson
2:30,Mu,Stello,Thygesen
2:45,Nibbs,Driessen,Song
3:00,Martin,,
3:15,Walker,Chahal,
3:30,,,
4:00,Menon,Murphy,
4:30,Danilovich,Smith,
4:45,Csukai,Das,
5:00,Karakas,Deagan,
5:15,Kaur,Dholakia,
5:30,,,
